,Contracting Agency Name,Date Signed,Est. Ultimate Completion Date,Product or Service Description,Vendor Address State Name,National Interest Action,Action Obligation
846,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-02-06,2012-05-16,LEASE OR RENTAL OF EQUIPMENT- VEHICULAR EQUIPMENT COMPONENTS,MISSOURI,HURRICANE IRENE 2011,28008.0
847,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-04-25,2012-07-15,LEASE OR RENTAL OF EQUIPMENT- VEHICULAR EQUIPMENT COMPONENTS,MISSOURI,HURRICANE IRENE 2011,18672.0
848,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-06-27,2012-08-15,LEASE OR RENTAL OF EQUIPMENT- VEHICULAR EQUIPMENT COMPONENTS,MISSOURI,HURRICANE IRENE 2011,4284.0
849,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-08-14,2012-09-13,LEASE OR RENTAL OF EQUIPMENT- VEHICULAR EQUIPMENT COMPONENTS,MISSOURI,HURRICANE IRENE 2011,8424.0
850,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-11-25,2012-02-27,LEASE OR RENTAL OF EQUIPMENT- VEHICULAR EQUIPMENT COMPONENTS,NEW JERSEY,HURRICANE IRENE 2011,5503.5
852,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-04-04,2012-04-04,LEASE OR RENTAL OF EQUIPMENT- VEHICULAR EQUIPMENT COMPONENTS,NEW JERSEY,HURRICANE IRENE 2011,-4224.5
853,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-11-09,2011-12-18,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,340000.0
854,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-01-24,2013-01-31,MAINTENANCE OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,2756650.0
855,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-03-08,2013-01-31,MAINTENANCE OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,-187000.0
856,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-05-08,2012-05-08,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-445.52
857,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-05-09,2013-01-31,MAINTENANCE OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,60000.0
858,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-07-25,2012-05-08,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-47607.17
859,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-05-30,2013-01-31,MAINTENANCE OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,-823950.0
860,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-08-10,2012-08-15,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-2886.97
861,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-06-27,2013-01-31,MAINTENANCE OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,-10000.0
862,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-06-27,2013-01-31,MAINTENANCE OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,-10000.0
863,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-11-10,2011-11-18,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,1600000.0
864,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-04-06,2012-04-06,MAINTENANCE OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,8492.05
866,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-07-25,2012-04-30,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-176071.36
867,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-04-12,2014-03-31,MAINTENANCE OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,17409.0
868,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-11-17,2011-12-16,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,975554.4
869,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-11-21,2011-12-16,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-18371.72
870,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-05-11,2012-12-16,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,65266.27
871,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-06-14,2012-12-16,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,100000.0
872,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-07-25,2012-12-16,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-71809.69
873,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-08-10,2012-08-15,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-15257.13
874,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-11-17,2011-12-16,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,325184.8
875,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-05-09,2014-03-31,MAINTENANCE OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,12000.0
876,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-11-21,2011-12-16,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-26834.15
877,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-06-07,2014-03-31,MAINTENANCE OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,1500.0
878,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-06-14,2012-12-16,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,100000.0
879,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-06-07,2014-03-31,MAINTENANCE OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,1000.0
880,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-06-27,2014-03-31,MAINTENANCE OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,10000.0
881,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-08-10,2012-08-15,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-54091.45
882,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-06-27,2014-03-31,MAINTENANCE OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,10000.0
883,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-12-06,2012-11-07,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,95000.0
884,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-05-08,2012-05-08,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-63547.7
885,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-08-13,2012-08-15,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-31452.3
886,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-12-08,2012-11-07,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,1058911.34
887,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-05-14,2012-11-07,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-501273.05
888,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-06-13,2012-11-07,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-200000.0
889,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-07-25,2012-11-07,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-76848.01
890,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-01-04,2012-01-31,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,42480.0
891,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-08-13,2012-08-15,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-2306.4
892,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-01-12,2012-02-11,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,372700.0
893,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-06-13,2012-02-11,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-300000.0
894,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-07-25,2012-02-11,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW YORK,HURRICANE IRENE 2011,-45251.17
895,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-01-11,2012-01-28,ADP SUPPLIES,CALIFORNIA,HURRICANE IRENE 2011,7496.01
897,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-01-13,2012-01-30,ADP INPUT/OUTPUT AND STORAGE DEVICES,CALIFORNIA,HURRICANE IRENE 2011,7496.01
898,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-02-23,2012-01-27,ADP INPUT/OUTPUT AND STORAGE DEVICES,CALIFORNIA,HURRICANE IRENE 2011,10029.5
899,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-01-30,2012-02-12,ADPE SYSTEM CONFIGURATION,MARYLAND,HURRICANE IRENE 2011,14157.23
900,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-02-21,2012-03-09,ADP INPUT/OUTPUT AND STORAGE DEVICES,NORTH CAROLINA,HURRICANE IRENE 2011,19407.02
902,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-04-06,2012-04-06,ADP INPUT/OUTPUT AND STORAGE DEVICES,NORTH CAROLINA,HURRICANE IRENE 2011,-14.7
903,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-03-09,2012-03-22,ADP SUPPLIES,CALIFORNIA,HURRICANE IRENE 2011,7694.31
904,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-18,2011-11-05,IT AND TELECOM- WEB-BASED SUBSCRIPTION,NEW JERSEY,HURRICANE IRENE 2011,2952.57
905,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-12-22,2012-01-01,IT AND TELECOM- WEB-BASED SUBSCRIPTION,NEW JERSEY,HURRICANE IRENE 2011,420.84
906,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-12-28,2012-01-01,IT AND TELECOM- WEB-BASED SUBSCRIPTION,NEW JERSEY,HURRICANE IRENE 2011,72.11
907,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-03-21,2012-03-23,SUPPORT- MANAGEMENT: ADVERTISING,NEW JERSEY,HURRICANE IRENE 2011,205.4
908,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-03-26,2012-04-20,ADP SOFTWARE,MASSACHUSETTS,HURRICANE IRENE 2011,4463.88
909,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-09-06,2012-04-20,ADP SOFTWARE,MASSACHUSETTS,HURRICANE IRENE 2011,-0.39
910,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-10,2012-09-30,UTILITIES- ELECTRIC,VIRGIN ISLANDS OF THE U.S.,HURRICANE IRENE 2011,2000.0
912,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-10,2012-09-30,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: VESSEL FREIGHT,PUERTO RICO,HURRICANE IRENE 2011,2000.0
914,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-11-03,2011-11-07,"MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",NEW JERSEY,HURRICANE IRENE 2011,20980.0
915,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-10,2011-10-14,MAINT/REPAIR/REBUILD OF EQUIPMENT- CONSTRUCTION AND BUILDING MATERIALS,NEW YORK,HURRICANE IRENE 2011,3000.0
916,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-08,2011-12-30,SUPPORT- MANAGEMENT: ADVERTISING,DISTRICT OF COLUMBIA,HURRICANE IRENE 2011,3545.4
917,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-07,2012-01-05,INSTALLATION OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,PENNSYLVANIA,HURRICANE IRENE 2011,2178.0
918,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-08,2012-01-05,INSTALLATION OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,PENNSYLVANIA,HURRICANE IRENE 2011,500.0
919,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-30,2012-01-05,INSTALLATION OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,PENNSYLVANIA,HURRICANE IRENE 2011,300.0
920,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-06-20,2012-10-10,INSTALLATION OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,PENNSYLVANIA,HURRICANE IRENE 2011,942.0
922,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-01-10,2012-12-31,INSTALLATION OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,PENNSYLVANIA,HURRICANE IRENE 2011,2942.0
923,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-06,2011-10-15,OFFICE SUPPLIES,NEW YORK,HURRICANE IRENE 2011,27526.8
924,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-06,2011-11-30,NEWSPAPERS AND PERIODICALS,NEW YORK,HURRICANE IRENE 2011,18640.0
925,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-02-01,2012-02-01,NEWSPAPERS AND PERIODICALS,NEW YORK,HURRICANE IRENE 2011,-153.94
926,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-07,2011-10-07,TECHNICAL REP- FIRE FIGHTING/RESCUE/SAFETY EQUIPMENT; ENVIRON PROTECT EQUIPMENT/MATLS,NEW YORK,HURRICANE IRENE 2011,8163.63
927,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-01-11,2012-01-27,ADP INPUT/OUTPUT AND STORAGE DEVICES,VIRGINIA,HURRICANE IRENE 2011,10029.5
928,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-02-23,2012-02-21,ADP INPUT/OUTPUT AND STORAGE DEVICES,VIRGINIA,HURRICANE IRENE 2011,-10029.5
929,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-13,2012-01-16,SUPPORT- ADMINISTRATIVE: PAPER SHREDDING,NEW YORK,HURRICANE IRENE 2011,882.0
930,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-01-11,2012-04-16,SUPPORT- ADMINISTRATIVE: PAPER SHREDDING,NEW YORK,HURRICANE IRENE 2011,120.0
932,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-03-08,2012-06-22,SUPPORT- ADMINISTRATIVE: PAPER SHREDDING,NEW YORK,HURRICANE IRENE 2011,630.0
933,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-05-29,2012-07-30,SUPPORT- ADMINISTRATIVE: PAPER SHREDDING,NEW YORK,HURRICANE IRENE 2011,378.0
934,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-21,2011-12-22,"LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",NEW YORK,HURRICANE IRENE 2011,6792.0
936,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-03-08,2012-06-21,"LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",NEW YORK,HURRICANE IRENE 2011,4038.0
938,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-08-23,2012-08-23,"LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",NEW YORK,HURRICANE IRENE 2011,-2452.77
939,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-03-29,2012-06-13,"LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",NEW YORK,HURRICANE IRENE 2011,2300.0
940,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-06-14,2012-07-25,"LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",NEW YORK,HURRICANE IRENE 2011,1329.92
942,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-09,2011-10-30,NEWSPAPERS AND PERIODICALS,NEW YORK,HURRICANE IRENE 2011,302.65
943,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-08,2012-09-30,SUPPORT- PROFESSIONAL: LEGAL,ILLINOIS,HURRICANE IRENE 2011,5000.0
944,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-11,2011-11-07,NEWSPAPERS AND PERIODICALS,NEW YORK,HURRICANE IRENE 2011,5000.0
945,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-18,2012-01-16,HOUSEKEEPING- TRASH/GARBAGE COLLECTION,NEW YORK,HURRICANE IRENE 2011,786.0
946,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-01-13,2012-07-17,HOUSEKEEPING- TRASH/GARBAGE COLLECTION,NEW YORK,HURRICANE IRENE 2011,780.0
947,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-06-20,2012-10-17,HOUSEKEEPING- TRASH/GARBAGE COLLECTION,NEW YORK,HURRICANE IRENE 2011,760.0
948,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-09-28,2012-10-17,HOUSEKEEPING- TRASH/GARBAGE COLLECTION,NEW YORK,HURRICANE IRENE 2011,760.0
949,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-17,2011-10-21,TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION,NEW YORK,HURRICANE IRENE 2011,17950.0
951,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-12-19,2012-01-31,TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION,NEW YORK,HURRICANE IRENE 2011,4000.0
952,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-02-22,2012-02-22,TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION,NEW YORK,HURRICANE IRENE 2011,-7750.0
953,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-18,2011-10-28,MAINT/REPAIR/REBUILD OF EQUIPMENT- CONSTRUCTION AND BUILDING MATERIALS,NEW YORK,HURRICANE IRENE 2011,5950.0
954,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-20,2011-11-03,UTILITIES- ELECTRIC,NEW YORK,HURRICANE IRENE 2011,11567.4
955,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-06-12,2012-04-11,UTILITIES- ELECTRIC,NEW YORK,HURRICANE IRENE 2011,-158.99
956,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-11-23,2011-12-30,MAINT/REPAIR/REBUILD OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,NEW YORK,HURRICANE IRENE 2011,64000.0
957,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-11-25,2011-11-30,R&D- HOUSING: HOUSING (BASIC RESEARCH),NEW JERSEY,HURRICANE IRENE 2011,10914.0
958,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-21,2011-10-26,TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION,NEW YORK,HURRICANE IRENE 2011,14900.0
959,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-12-19,2012-01-31,TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION,NEW YORK,HURRICANE IRENE 2011,4000.0
961,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-02-23,2012-02-23,TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION,NEW YORK,HURRICANE IRENE 2011,-4000.0
962,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-04-16,2012-02-23,TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION,NEW YORK,HURRICANE IRENE 2011,-4000.0
963,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-11-02,2012-09-30,PLASTICS FABRICATED MATERIALS,MICHIGAN,HURRICANE IRENE 2011,5017.0
964,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-26,2011-10-29,TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION,NEW YORK,HURRICANE IRENE 2011,17685.0
965,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-12-21,2012-01-31,TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION,NEW YORK,HURRICANE IRENE 2011,12000.0
966,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-02-14,2012-02-14,TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION,NEW YORK,HURRICANE IRENE 2011,-15345.0
967,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-02-24,2012-02-23,TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION,NEW YORK,HURRICANE IRENE 2011,-11250.0
968,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-27,2012-10-26,LEASE/RENTAL OF OTHER RESIDENTIAL BUILDINGS,NEW YORK,HURRICANE IRENE 2011,3900.0
970,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-04-03,2012-04-03,LEASE/RENTAL OF OTHER RESIDENTIAL BUILDINGS,NEW YORK,HURRICANE IRENE 2011,-2600.0
971,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-31,2011-11-30,"DRAFTING, SURVEYING, AND MAPPING INSTRUMENTS",NEW YORK,HURRICANE IRENE 2011,108000.0
973,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-03-02,2011-12-16,"DRAFTING, SURVEYING, AND MAPPING INSTRUMENTS",NEW YORK,HURRICANE IRENE 2011,-80503.03
974,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-12-12,2012-03-13,"LEASE OR RENTAL OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",NEW YORK,HURRICANE IRENE 2011,4000.0
975,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-02-17,2012-09-03,"LEASE OR RENTAL OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",NEW YORK,HURRICANE IRENE 2011,2100.0
977,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-28,2011-11-14,"HEADSETS, HANDSETS, MICROPHONES AND SPEAKERS",ILLINOIS,HURRICANE IRENE 2011,8850.1
978,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-11-01,2012-10-28,LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,12816.0
980,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-12-13,2012-12-11,LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,25500.0
981,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-02-08,2012-12-11,LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,-12600.0
983,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-08-15,2012-08-15,LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,-7831.7
984,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-11-01,2012-10-28,LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES,NEW YORK,HURRICANE IRENE 2011,13680.0
986,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-29,2011-11-14,NEWSPAPERS AND PERIODICALS,NEW YORK,HURRICANE IRENE 2011,2276.21
987,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-12-17,2011-12-07,NEWSPAPERS AND PERIODICALS,NEW YORK,HURRICANE IRENE 2011,-1325.05
988,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-10-29,2011-11-14,NEWSPAPERS AND PERIODICALS,NEW YORK,HURRICANE IRENE 2011,5082.55
989,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-12-16,2011-11-14,NEWSPAPERS AND PERIODICALS,NEW YORK,HURRICANE IRENE 2011,-1768.36
990,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-11-01,2011-11-05,TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION,NEW YORK,HURRICANE IRENE 2011,54000.0
991,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-12-20,2012-01-31,TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION,NEW YORK,HURRICANE IRENE 2011,12000.0
992,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-02-24,2012-02-24,TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION,NEW YORK,HURRICANE IRENE 2011,-19600.0
993,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-11-02,2011-11-05,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW JERSEY,HURRICANE IRENE 2011,111668.7
994,FEDERAL EMERGENCY MANAGEMENT AGENCY,2011-12-21,2012-01-31,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW JERSEY,HURRICANE IRENE 2011,24000.0
995,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-03-06,2012-01-31,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW JERSEY,HURRICANE IRENE 2011,-48000.0
996,FEDERAL EMERGENCY MANAGEMENT AGENCY,2012-04-12,2012-01-31,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,NEW JERSEY,HURRICANE IRENE 2011,48000.0
